YEAR,GoogleScholar,CORE,Scopus
1970,29,0,3
1971,18,2,0
1972,30,2,0
1973,33,3,2
1974,28,2,4
1975,34,3,2
1976,48,1,3
1977,36,6,3
1978,37,4,2
1979,64,13,11
1980,62,13,10
1981,65,5,10
1982,74,10,13
1983,61,4,9
1984,92,9,9
1985,86,12,14
1986,96,6,12
1987,105,11,14
1988,123,11,24
1989,111,8,20
1990,136,14,20
1991,171,12,25
1992,248,21,23
1993,214,19,28
1994,248,23,42
1995,260,18,48
1996,331,36,81
1997,410,44,129
1998,418,40,96
1999,414,33,180
2000,503,37,183
2001,606,36,211
2002,707,72,287
2003,697,61,300
2004,751,80,317
2005,759,100,310
2006,843,109,362
2007,926,122,398
2008,1050,148,402
2009,1080,168,459
2010,1170,227,457
2011,1170,216,487
2012,1400,274,505
2013,1370,270,570
2014,1520,311,568
2015,1660,376,692
2016,1800,408,804
2017,1690,491,766
2018,1800,516,823
2019,1770,490,798
2020,1880,457,764
2021,1910,411,886
2022,1810,423,795